folio,sign,ring,slot,n_slots_in_ring,clock,angle_deg,eva_label,eva_label_clean,figure_type,holds_star,central_sign_desc,confidence,image_file,notes
f72r2,Gemini,2,13,15,10:00,300.0,otaraldy,otaraldy,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,14,15,11:00,330.0,okalar,okalar,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,15,15,11:45,352.5,okal,okal,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,3,1,9,00:30,15.0,okam,okam,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,3,2,9,02:00,60.0,otalshy,otalshy,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,3,3,9,03:30,105.0,okaldy,okaldy,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,3,4,9,05:00,150.0,chosar,chosar,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,3,5,9,06:30,195.0,otam,otam,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,3,6,9,08:00,240.0,ainaly,ainaly,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,3,7,9,09:00,270.0,okarcham,okarcham,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,3,8,9,10:30,315.0,otal,otal,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,3,9,9,11:30,345.0,ralal,ralal,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r3,Cancer,1,1,12,00:00,0.0,oraiinam,oraiinam,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,1,2,12,01:00,30.0,osarsheeeo,osarsheeeo,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,1,3,12,02:00,60.0,oto@192;aiin,otoaiin,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,1,4,12,02:30,75.0,"opoiiin[o:?]in.al,[ch:a]es","opoiiinoin.al,ches",nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,1,5,12,04:00,120.0,ypaiin.alaly,ypaiin.alaly,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,1,6,12,05:00,150.0,"oteey,daiin","oteey,daiin",nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,1,7,12,06:30,195.0,oeeodaiin,oeeodaiin,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,1,8,12,07:00,210.0,ofsholdy,ofsholdy,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,1,9,12,07:00,210.0,opoeey.okaiin,opoeey.okaiin,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,1,10,12,10:00,300.0,ykolairol,ykolairol,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,1,11,12,10:30,315.0,olkalaiin,olkalaiin,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,1,12,12,11:00,330.0,olalsy,olalsy,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,2,1,11,00:00,0.0,ytairal,ytairal,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,2,2,11,01:00,30.0,oeee[s:r]aiin,oeeesaiin,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,2,3,11,01:30,45.0,ory,ory,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,2,4,11,02:30,75.0,"ochey,fydy","ochey,fydy",nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,2,5,11,03:30,105.0,of???.o.eeesaly,of.o.eeesaly,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,2,6,11,05:00,150.0,ykaraiin.airal,ykaraiin.airal,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,2,7,11,06:30,195.0,okalar,okalar,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,2,8,11,08:00,240.0,orara,orara,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,2,9,11,09:00,270.0,olaiin.ola{ikh}y,olaiin.olay,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,2,10,11,10:00,300.0,olfsheoral,olfsheoral,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,2,11,11,11:00,330.0,oralkam,oralkam,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,3,1,7,00:00,0.0,yfary,yfary,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,3,2,7,01:30,45.0,oraiiral,oraiiral,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,3,3,7,03:00,90.0,ytoar.shar,ytoar.shar,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,3,4,7,06:00,180.0,octho,octho,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,3,5,7,07:30,225.0,aral,aral,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,3,6,7,09:00,270.0,oletal,oletal,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72r3,Cancer,3,7,7,10:30,315.0,opalal,opalal,nymph-nude,1,"two crayfish/lobsters, head-to-tail",high,f72r3_region.jpg,
f72v1,Leo,1,1,20,01:00,30.0,okeeoly,okeeoly,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,2,20,01:30,45.0,odal,odal,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,3,20,01:45,52.5,oees,oees,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,4,20,02:00,60.0,aiinod,aiinod,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,5,20,02:45,82.5,od[?:ch]dy,oddy,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,6,20,03:15,97.5,oteod,oteod,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,7,20,03:45,112.5,yteod,yteod,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,8,20,04:30,135.0,ok[?:ch]ody,okody,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,9,20,05:00,150.0,okal,okal,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,10,20,05:30,165.0,ytaly,ytaly,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,11,20,06:00,180.0,oeeeos,oeeeos,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,12,20,06:30,195.0,oteofy,oteofy,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,13,20,07:30,225.0,cheoepy,cheoepy,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,14,20,08:00,240.0,ykeedy,ykeedy,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,15,20,08:45,262.5,oeeoty,oeeoty,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,16,20,09:30,285.0,octhy,octhy,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,17,20,10:00,300.0,oteoly,oteoly,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,18,20,10:30,315.0,okeoly,okeoly,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,19,20,11:00,330.0,oeees,oeees,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,1,20,20,11:30,345.0,o{cfh'h}y,oy,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,2,1,10,00:00,0.0,oiiny,oiiny,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,2,2,10,01:00,30.0,oeey,oeey,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,2,3,10,03:00,90.0,okedy,okedy,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,2,4,10,04:30,135.0,ypaim,ypaim,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,2,5,10,05:30,165.0,okalair,okalair,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,2,6,10,06:30,195.0,oeeody,oeeody,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,2,7,10,07:30,225.0,okeol,okeol,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
